Wbox_SKU,Reference,Description,Value,KiCad Footprint,Datasheet,Package,MF_Name,MF_PN,S1_Name,S1_PN,Qty,Verified_FP
50,LED, LED RGB WS2812B W/DVR 4SMD ,WS2812B,,http://www.adafruit.com/datasheets/WS2812B.pdf,RGBLED5050,Adafruit,1655,Digikey, 1528-1104-ND ,15,No
51,LED, LED AMBER DIFFUSED 0603 SMD ,AMBER,,"http://media.digikey.com/pdf/Data%20Sheets/Osram%20PDFs/LS,LA,LO,LY_296.pdf",0603,OSRAM Opto, LA L296-Q2R2-1-Z ,Digikey, 475-2712-1-ND ,24,No
52,LED, LED RED CLEAR 0603 SMD ,RED,,http://katalog.we-online.de/led/datasheet/150060RS75000.pdf,0603,Wurth,150060RS75000,Digikey, 732-4978-1-ND ,50,No
53,LED, LED RED DIFFUSED 0603 SMD ,RED,,http://www.osram-os.com/Graphics/XPic5/00077119_0.pdf,0603,OSRAM Opto, LS L296-P2Q2-1-Z ,Digikey, 475-2761-1-ND ,25,No
54,LED, LED GREEN/RED CLEAR 0606 SMD ,RED-GREEN,,http://optoelectronics.liteon.com/upload/download/DS22-2000-282/P_100_LTST-C195KGJRKT.pdf,0606,Lite-On, LTST-C195KGJRKT ,Digikey, 160-1452-1-ND ,4,No
55,LED, LED GREEN DIFFUSED 0603 SMD ,GREEN,,http://media.digikey.com/pdf/Data%20Sheets/Stanley%20Electric%20PDFs/BR1111C_Series.pdf,0603,Stanley Electric, BG1111C-TR ,Digikey, 404-1005-1-ND ,12,No
56,LED, LED RED DIFFUSED 0603 SMD ,RED,,http://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HSMz-Czzz.pdf,0603,Broadcom, HSMS-C191 ,Digikey, 516-3074-1-ND ,9,No
57,U, IC MCU 32BIT 1MB FLASH 100LQFP ,STM32F407-100LQFP,,http://www.st.com/web/en/resource/technical/document/datasheet/DM00037051.pdf,LQFP100,STM, STM32F407VGT6 ,Digikey, 497-11605-ND ,1,No
58,U, IC MCU 8BIT 32KB FLASH 32TQFP ,ATMEGA328P,,http://www.atmel.com/images/Atmel-8271-8-bit-AVR-Microcontroller-ATmega48A-48PA-88A-88PA-168A-168PA-328-328P_datasheet_Complete.pdf,TQFP32,Atmel, ATMEGA328P-AU ,Digikey, ATMEGA328P-AU-ND ,2,No
59,U, IC MCU 8BIT 32KB FLASH 32TQFP , ATMEGA328,,http://www.atmel.com/images/Atmel-8271-8-bit-AVR-Microcontroller-ATmega48A-48PA-88A-88PA-168A-168PA-328-328P_datasheet_Complete.pdf,TQFP32,Atmel,ATMEGA328-AU,Digikey, ATMEGA328-AU-ND ,10,No
60,U, IC MCU 8BIT 128KB FLASH 44TQFP ,ATMEGA1284,,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,TQFP44,Atmel, ATMEGA1284-AU ,Digikey, ATMEGA1284-AU-ND ,1,No
61,U, IC MCU 8BIT 128KB FLASH 44TQFP ,ATMEGA1284P,,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,TQFP44,Atmel, ATMEGA1284P-AU ,Digikey, ATMEGA1284P-AU-ND ,1,No
62,U, IC MCU 32BIT 32KB FLASH 32LQFP ,STM32F042-32LQFP,,http://www.st.com/web/en/resource/technical/document/datasheet/DM00105814.pdf,LQFP32,STM,STM32F042K6T6,Digikey, 497-14647-ND ,5,No
63,U, SENSOR TEMP RATIOMETRIC TO92-3 ,TMP36,,http://www.analog.com/media/en/technical-documentation/data-sheets/TMP35_36_37.pdf,TO-92,Analog, TMP36GT9Z ,Digikey, TMP36GT9Z-ND ,1,No
64,U, SENSOR HALL EFFECT BIPOLAR TO92 ,HALL,,http://sensing.honeywell.com/index.php/ci_id/45288/la_id/1/document/1/re_id/0,TO-92,Honeywell, SS411P ,Digikey, 480-5195-ND ,10,No
65,U, IC WAVEFORM GENERTR PROG 10-MSOP ,AD9833,,http://www.analog.com/media/en/technical-documentation/data-sheets/AD9833.pdf,MSOP10,Analog,AD9833BRMZ,Digikey, AD9833BRMZ-ND ,1,No
